Model,Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
ViT (More Dropout),15,1.622313458621502,40.86,1.6566619670391083,40.74
ViT (More Dropout),16,1.613023563325405,41.2125,1.6347677254676818,41.43
ViT (More Dropout),17,1.6082760533690452,41.3475,1.6473606777191163,40.86
ViT (More Dropout),18,1.5964774763584137,41.835,1.6500009524822234,41.51
ViT (More Dropout),19,1.5860000920295716,42.4375,1.6166000950336457,42.06
ViT (More Dropout),20,1.5774126824736596,42.9925,1.6154208171367646,42.8
ViT (More Dropout),21,1.569772963821888,42.9275,1.6487394309043883,41.45
ViT (More Dropout),22,1.5644029834866524,43.14,1.577832236289978,43.14
ViT (More Dropout),23,1.5602468249201775,43.2275,1.594454185962677,42.95
ViT (More Dropout),24,1.5501982089877129,43.98,1.5765281474590302,44.03
ViT (More Dropout),25,1.5451743313670159,43.7425,1.611707100868225,42.86
