Model,Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
ViT (Large LR),23,1.7107524794340134,38.04,1.691573555469513,39.09
ViT (Large LR),24,1.7061883440613748,37.855,1.6955370271205903,38.49
ViT (Large LR),25,1.7074609151482583,38.015,1.6690867257118225,39.92
ViT (More Dropout),1,1.9806158295273781,27.0,1.886453973054886,31.8
ViT (More Dropout),2,1.8793249177932738,31.0775,1.832176834344864,33.62
ViT (More Dropout),3,1.8399943056702615,32.86,1.8040510749816894,34.96
ViT (More Dropout),4,1.8059699028730392,34.2875,1.7558628046512603,36.64
ViT (More Dropout),5,1.7818445974588395,35.315,1.7514717423915862,36.68
ViT (More Dropout),6,1.7619817820191384,36.13,1.7302970063686371,37.95
ViT (More Dropout),7,1.74289440959692,36.59,1.7067440271377563,38.49
ViT (More Dropout),8,1.7246396884322166,37.3825,1.7235417294502258,37.77
ViT (More Dropout),9,1.7105413848161697,37.69,1.6837706899642944,39.91
ViT (More Dropout),10,1.6999112784862518,38.735,1.6681301271915436,40.07
ViT (More Dropout),11,1.686821864247322,38.945,1.6537830007076264,39.67
ViT (More Dropout),12,1.6725336557626724,39.2775,1.6555456709861756,40.13
ViT (More Dropout),13,1.6651855418086052,39.94,1.6318648850917816,41.4
ViT (More Dropout),14,1.6541555812954902,40.265,1.650445008277893,41.66
ViT (More Dropout),15,1.6466190111637116,40.3,1.6382613587379455,41.39
ViT (More Dropout),16,1.6364807891845703,41.0425,1.6206834483146668,42.52
ViT (More Dropout),17,1.6308471125364303,40.9625,1.6125864446163178,42.17
ViT (More Dropout),18,1.6240463638305664,41.205,1.6186738431453704,42.73
ViT (More Dropout),19,1.6157500970363616,41.2975,1.600548998117447,43.35
ViT (More Dropout),20,1.606824457347393,41.845,1.58639404296875,43.53
ViT (More Dropout),21,1.604588094651699,42.385,1.5832531440258026,43.32
ViT (More Dropout),22,1.5937315106391907,42.3675,1.5913632500171662,43.09
ViT (More Dropout),23,1.5896297636628152,42.7025,1.5932657027244568,43.86
ViT (More Dropout),24,1.5894252714514732,42.4525,1.5757197380065917,43.92
ViT (More Dropout),25,1.585451725423336,42.77,1.6100772762298583,42.47
